officer_id,name_clean,n,cluster
F942,"COWDERY, M",209,1
F942,"COWEDRY, MICHAEL",1,1
G024,"CASEY, VALERIE",224,1
G024,"JOHNSON, VALERIE",4,1
G034,"HARRIS, J",20,2
G034,"PARKER, J",5,2
G046,"MONT, A",191,1
G046,"MONTZ, EDWARD",3,1
G049,"GESLA, CHRIS",224,1
G049,"GESLA, KRZYSZTOF",189,1
G067,"MARSH, JAMES",161,1
G067,"MARSH, NEVIN",2,1
G191,"BORELLI, JOHN",291,1
G191,"BOREWELL, M",1,1
G214,"TRIANA, ERIC",73,1
G214,"TRAINER, ERIC",2,1
G217,"KAPFHAMMER, CASSIDY",400,1
G217,"BROADWATER, CASSIDY",42,1
G223,"CARDARELLA, JAMES",1283,1
G223,"CADARELLA, J",15,1
G271,"LEBRUN, ROBERT JR",1320,1
G271,"LEBRUM, ROBERT",10,1
G304,"LYNCH, TIFFANY",66,1
G304,"BROWN, TIFFANY",44,1
G337,"SMITH, MCKINLEY",887,1
G337,"SMITH, ME",1,1
G360,"JONAS, RF",14,3
G360,"JONESII, R",9,3
G395,"YERE, J",73,1
G395,"YERG, JASON",1,1
G471,"MCGOWAN, TERRENCE",170,1
G471,"MCQOWAN, T",68,1
G483,"GOODSON, CAESAR JR",151,1
G483,"GOODSON, CEASER",1,1
G511,"WATTS, RICHARD",662,1
G511,"WATTS, J",86,1
G530,"JUGAN, THOMAS",600,1
G530,"JUGAN, OFFCR",374,1
G540,"BLACK, KIRK",123,1
G540,"BALCK, K",72,1
G540,"BLACK, OFFC",13,1
G547,"LENNON, KELLY",432,1
G547,"JOHNS, KELLY",188,1
G550,"LOUVADO, IVON",1036,1
G550,"LOUVADO, CHARLES",26,1
G650,"MCQUEEN, RICHELLE",155,1
G650,"MCQUEEN, CRAIG",2,1
G661,"GADOMSKI, HOLLY",491,1
G661,"MANCUSO, HOLLY",2,1
G664,"SMITH, S",328,1
G664,"SMITH, MILTON III",111,1
G729,"DAVIS, R",708,1
G729,"DAVIS, GLORIA",61,1
G785,"DICANDELORO, JOSEPH JR",871,1
G785,DICANDEZOR,13,1
G807,"SHETTERLY, JIMMY",2092,1
G807,"SHETTERLY, JAMES",1,1
G847,"MCBRIDE, TAUSHIA",114,1
G847,MCBRIDET,1,1
G937,"BOYD, AZALEE",260,1
G937,"JOHNSON, AZALEE",1,1
G973,"COCARAN, M",45,1
G973,"CORCORAN, MICHAEL",21,1
H006,"VEGA, JAMES",219,1
H006,"STACEY, JAMES",4,1
H248,"JONES, MELVIN IV",612,1
H248,"JONE, M",99,1
H313,"WHITE, BOBBY",184,1
H313,"WHITE GRAVES, BOBBIE",9,1
H363,"HOGAN, I",529,1
H363,"HORGAN, DANIEL",267,1
H413,"MCCOLLUM, ELIZABETH",185,1
H413,"MCCULLUM, E",27,1
H422,"BAY, M",962,1
H422,"BAGDON, MARK",312,1
H454,"FRIED, JARED",2322,1
H454,"FRIED, REGINALD",3,1
H468,"RENFROW, DAVID",62,1
H468,"REID, DAVID",4,1
H581,"CORONA, JHONN",192,1
H581,"GORORA, J",14,1
